hidden_layers,pca_frac,norm_layers,dropout_layers,dropout_rate,pooling,norm,batch_size,num_layers,base_dim,activation,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,source_params
"[1408, 1024, 640, 320]",0.8,"[1,2,3]","[2,3]",0.45,mean,minmax,64,4,1408,silu,Adam,,0.00015,1e-06,True,Presets_new
"[512, 384, 192]",0.7,"[1,3]","[2]",0.4,max,L2,256,3,512,gelu,AdamW,,0.00025,5e-06,True,Presets_new
"[960, 640, 320]",0.9,"[1,2,3]","[1,2]",0.45,mean,minmax,128,3,960,silu,Adam,,0.0002,5e-07,True,Presets_new
"[1280, 896, 512, 256]",0.85,"[1,3]","[1,3]",0.5,mean,L2,64,4,1280,silu,AdamW,,0.0002,1e-06,True,Presets_new
"[768, 512, 384, 256]",0.75,"[1,2,3]","[2,3]",0.45,max,minmax,80,4,768,leakyrelu,Adam,,0.00025,1e-06,True,Presets_new
"[1024, 768, 512, 256]",0.8,"[1,2,3]","[1,2]",0.45,mean,L2,64,4,1024,silu,Adam,,0.00018,5e-06,True,Presets_new
"[2048, 1024, 512]",0.8,"[1,2,3]","[2]",0.45,mean,minmax,64,3,2048,silu,AdamW,,0.0002,1e-06,True,Presets_new
"[1536, 1024, 512]",0.75,"[1,3]","[1,2]",0.4,max,L2,128,3,1536,gelu,AdamW,,0.00015,5e-06,True,Presets_new
"[640, 448, 256]",0.70,"[2]","[1,2]",0.35,mean,minmax,96,3,640,gelu,Adam,,0.00015,1e-06,True,Presets_new
"[512, 384, 256, 128]",0.75,"[1,3]","[2,3]",0.45,max,minmax,64,4,512,silu,Adam,,0.0002,1e-07,True,Presets_new
"[768, 512, 256]",0.8,"[1,2,3]","[]",0.4,mean,L2,128,3,768,leakyrelu,Adam,,0.00025,5e-06,True,Presets_new
"[896, 512, 256]",0.8,"[1,2]","[1,2]",0.5,max,minmax,96,3,896,gelu,AdamW,,0.0002,1e-06,True,Presets_new
"[1024, 768, 384]",0.9,"[1,3]","[2]",0.45,mean,L2,128,3,1024,silu,Adam,,0.0001,1e-05,True,Presets_new
"[1152, 768, 512]",0.8,"[1,2]","[1,2]",0.5,mean,minmax,96,3,1152,silu,AdamW,,0.0002,5e-06,True,Presets_new
"[640, 512, 384, 256]",0.75,"[1,3]","[2,3]",0.45,max,L2,64,4,640,gelu,AdamW,,0.00018,1e-06,True,Presets_new
"[384, 384, 192]",0.7,"[2]","[1]",0.3,mean,minmax,48,3,384,elu,Adam,,0.0006,0.0,True,Presets_new
"[896, 640, 320, 192]",0.8,"[1,2,3]","[1,2]",0.5,mean,minmax,80,4,896,leakyrelu,Adam,,0.0002,2e-07,True,Presets_new
"[1024, 1024, 512]",0.85,"[1,3]","[2]",0.5,mean,L2,128,3,1024,silu,AdamW,,0.0002,5e-06,True,Presets_new
"[576, 384, 192]",0.75,"[2]","[1,3]",0.45,max,minmax,96,3,576,elu,RMSprop,,0.0002,5e-05,True,Presets_new
"[896, 896, 896]",0.85,"[1,2,3]","[2,3]",0.45,mean,L2,96,3,896,silu,AdamW,,0.00015,1e-05,True,Presets_new
"[512, 384, 256]",0.65,"[2]","[3]",0.5,max,L2,128,3,512,silu,Adam,,0.0001,1e-06,True,Presets_new
"[1280, 1024, 768, 512]",0.8,"[1,2,3]","[2,3]",0.5,mean,minmax,64,4,1280,silu,AdamW,,0.00015,5e-06,True,Presets_new
"[1024, 768, 512, 256]",0.8,"[1,3]","[2,3]",0.45,mean,minmax,64,4,1024,gelu,Adam,,0.0002,1e-07,True,Presets_new
"[960, 960, 960]",,"[1,2,3]","[1,3]",0.5,max,L2,128,3,960,silu,Adam,,0.0002,1e-06,True,Presets_new
"[640, 512, 384, 256]",0.75,"[1,2]","[3]",0.45,mean,minmax,128,4,640,leakyrelu,Adam,,0.00025,5e-06,True,Presets_new
"[2048, 1536, 1024, 512]",0.75,"[1,3,4]","[2,3]",0.5,max,L2,32,4,2048,silu,AdamW,,0.00015,5e-06,True,Presets_new


"[1536,1024,640,320]",,"[1,3]","[2,3]",0.35,mean,minmax,64,4,1536,silu,AdamW,,0.00018,1e-05,False,Generated_Mix
"[896,640,448,320,160]",0.75,"[2,4]","[1,3]",0.4,max,L2,96,5,896,gelu,Adam,,0.00015,1e-06,True,Generated_Mix
"[768,768,512,256,128]",,"[1,3]","[2,3,4]",0.45,mean,,64,5,768,elu,AdamW,,0.0002,5e-06,False,Generated_Mix
"[1280,960,640,320,160]",0.7,"[1,2,4]","[3,4]",0.3,max,L2,96,5,1280,gelu,Adam,,0.0001,1e-07,True,Generated_Mix
"[1024,768,384,192]",,"[2]","[1,3]",0.55,mean,minmax,80,4,1024,leakyrelu,SGD,0.9,0.002,1e-05,False,Generated_Mix
"[1536,1152,768,512]",,"[1,3]","[2,3]",0.4,max,L2,80,4,1536,elu,AdamW,,0.0002,1e-06,False,Generated_Mix
"[896,896,640,320]",,"[1]","[2,3]",0.45,mean,minmax,48,4,896,gelu,Adam,,0.00018,5e-07,False,Generated_Mix
"[2048,1536,1024]",0.85,"[1,2]","[2]",0.25,max,,96,3,2048,silu,AdamW,,0.00015,1e-05,True,Generated_Mix

"[256,128]",,"[1]","[1]",0.3,mean,minmax,64,2,256,silu,Adam,,0.00025,1e-06,False,Generated_Light
"[320,160]",0.7,"[]","[1]",0.2,max,,80,2,320,gelu,AdamW,,0.00015,1e-07,True,Generated_Light
"[384,192,96]",,"[2]","[1,2]",0.35,mean,L2,64,3,384,relu,RMSprop,,9e-05,5e-05,False,Generated_Light
"[512,256]",0.8,"[1]","[1]",0.25,max,minmax,96,2,512,elu,Adam,,0.0002,1e-06,True,Generated_Light
"[448,224,112]",,"[1,3]","[2]",0.4,mean,,64,3,448,silu,AdamW,,0.00018,5e-07,False,Generated_Light
"[320,220,160]",0.75,"[]","[2]",0.3,max,minmax,128,3,320,gelu,Adam,,0.0001,1e-06,True,Generated_Light
"[512,384]",,"[1]","[]",0.2,mean,L2,48,2,512,leakyrelu,SGD,0.9,0.002,1e-05,False,Generated_Light
"[256,256,128]",0.8,"[2]","[1]",0.45,max,,64,3,256,silu,Adam,,0.0003,1e-06,True,Generated_Light
